ID;HE
1;-1040
2;-1040
3;-1035
4;-1035
5;-1035
6;-1035
7;-1030
8;-1030
9;-1030
10;-1030
11;-1030
12;-1025
13;-1025
14;-1025
15;-1025
16;-1025
17;-1025
18;-1025
19;-1025
20;-1025
21;-1020
22;-1020
23;-1020
24;-1020
25;-1020
26;-1020
27;-1020
28;-1020
29;-1020
30;-1020
31;-1020
32;-1020
33;-1020
34;-1020
35;-1020
36;-1020
37;-1020
38;-1020
39;-1020
40;-1015
41;-1015
42;-1015
43;-1015
44;-1015
45;-1015
46;-1015
47;-1015
48;-1015
49;-1015
50;-1015
51;-1015
52;-1015
53;-1015
54;-1015
55;-1015
56;-1015
57;-1015
58;-1015
59;-1015
60;-1015
61;-1015
62;-1015
63;-1015
64;-1015
65;-1015
66;-1015
67;-1015
68;-1015
69;-1015
70;-1015
71;-1015
72;-1015
73;-1015
74;-1015
75;-1015
76;-1015
77;-1015
78;-1015
79;-1015
80;-1015
81;-1015
82;-1015
83;-1015
84;-1015
85;-1015
86;-1015
87;-1015
88;-1015
89;-1015
90;-1015
91;-1015
92;-1010
93;-1010
94;-1010
95;-1010
96;-1010
97;-1010
98;-1010
99;-1010
100;-1010
101;-1009
102;-1008
103;-1007
104;-1006
105;-1005
106;-1004
107;-1003
108;-1002
109;-1010
110;-1010
111;-1010
112;-1010
113;-1010
114;-1010
115;-1010
116;-1010
117;-1010
118;-1010
119;-1010
120;-1010
121;-1010
122;-1010
123;-1010
124;-1010
125;-1010
126;-1010
127;-1010
128;-1010
129;-1010
130;-1010
131;-1010
132;-1010
133;-1010
134;-1010
135;-1010
136;-1010
137;-1010
138;-1010
139;-1010
140;-1010
141;-1010
142;-1010
143;-1010
144;-1010
145;-1010
146;-1010
147;-1010
148;-1010
149;-1010
150;-1010
151;-1010
152;-1010
153;-1010
154;-1010
155;-1010
156;-1010
157;-1010
158;-1010
159;-1010
160;-1010
161;-1010
162;-1010
163;-1010
164;-1010
165;-1010
166;-1010
167;-1010
168;-1010
169;-1010
